"Date/Step","Count"
"2018-08-24 02:30:00","14"
"2018-08-24 02:45:00","10"
"2018-08-24 03:00:00","6"
"2018-08-24 03:15:00","11"
"2018-08-24 03:30:00","7"
"2018-08-24 03:45:00","2"
"2018-08-24 04:00:00","14"
"2018-08-24 04:15:00","9"
"2018-08-24 04:30:00","12"
"2018-08-24 04:45:00","13"
"2018-08-24 05:00:00","14"
"2018-08-24 05:15:00","7"
"2018-08-24 05:30:00","8"
"2018-08-24 05:45:00","13"
"2018-08-24 06:00:00","13"
"2018-08-24 06:15:00","13"
"2018-08-24 06:30:00","23"
"2018-08-24 06:45:00","20"
"2018-08-24 07:00:00","25"
"2018-08-24 07:15:00","28"
"2018-08-24 07:30:00","29"
"2018-08-24 07:45:00","29"
"2018-08-24 08:00:00","42"
"2018-08-24 08:15:00","32"
"2018-08-24 08:30:00","38"
"2018-08-24 08:45:00","48"
"2018-08-24 09:00:00","53"
"2018-08-24 09:15:00","47"
"2018-08-24 09:30:00","46"
"2018-08-24 09:45:00","36"
"2018-08-24 10:00:00","55"
"2018-08-24 10:15:00","54"
"2018-08-24 10:30:00","50"
"2018-08-24 10:45:00","54"
"2018-08-24 11:00:00","66"
"2018-08-24 11:15:00","53"
"2018-08-24 11:30:00","50"
"2018-08-24 11:45:00","59"
"2018-08-24 12:00:00","42"
"2018-08-24 12:15:00","64"
"2018-08-24 12:30:00","68"
"2018-08-24 12:45:00","50"
"2018-08-24 13:00:00","62"
"2018-08-24 13:15:00","55"
"2018-08-24 13:30:00","49"
"2018-08-24 13:45:00","62"
"2018-08-24 14:00:00","56"
"2018-08-24 14:15:00","51"
"2018-08-24 14:30:00","60"
"2018-08-24 14:45:00","59"
"2018-08-24 15:00:00","49"
"2018-08-24 15:15:00","50"
"2018-08-24 15:30:00","59"
"2018-08-24 15:45:00","53"
"2018-08-24 16:00:00","55"
"2018-08-24 16:15:00","63"
"2018-08-24 16:30:00","79"
"2018-08-24 16:45:00","68"
"2018-08-24 17:00:00","66"
"2018-08-24 17:15:00","62"
"2018-08-24 17:30:00","58"
"2018-08-24 17:45:00","82"
"2018-08-24 18:00:00","63"
"2018-08-24 18:15:00","61"
"2018-08-24 18:30:00","68"
"2018-08-24 18:45:00","47"
"2018-08-24 19:00:00","52"
"2018-08-24 19:15:00","48"
"2018-08-24 19:30:00","58"
