Id unico Global Espira,Zona,ID Espira Por zona,ID Cruzamento,Lon (DecDegrees),Lat (DecDegrees)
5a535bcea33116f026ef6936,5,6,179,-9.14936363697,38.7435654659
5a535bcea33116f026ef6879,5,5,322,-9.15036678314,38.7476991416
5a535bcea33116f026ef665d,5,7,322,-9.14997518063,38.7480087393
5a535bcea33116f026ef687e,5,8,294,-9.1468423605,38.7486195632
5a535bcea33116f026ef6650,5,1,25,-9.14838731289,38.7492680349
5a535bcea33116f026ef6870,5,2,25,-9.14816737175,38.7492805859
5a904305287e9d20ae6c0906,6,1,159,0,0
5a9042ad287e9d20ae6c0391,6,10,159,0,0
5a9042ad287e9d20ae6c0395,6,11,159,0,0
5a9042ad287e9d20ae6c0396,6,12,93,0,0
5a9042ae287e9d20ae6c039a,6,13,160,0,0
5aac077b287e9d20ae5d3670,6,14,157,0,0
5a9042ae287e9d20ae6c039b,6,15,157,0,0
5a9042ae287e9d20ae6c03ad,6,16,93,0,0
5a912497287e9d20ae73bc16,6,21,154,0,0
5a920824287e9d20ae7ae1af,6,22,154,0,0
5a9042af287e9d20ae6c03be,6,23,270,0,0
5a90fee7287e9d20ae72f06b,6,24,280,0,0
5a904305287e9d20ae6c0907,6,3,154,0,0
5a904306287e9d20ae6c090a,6,6,270,0,0
5a904306287e9d20ae6c090b,6,7,93,0,0
5a9042ac287e9d20ae6c038d,6,8,153,0,0
5a9042ad287e9d20ae6c0392,6,9,159,0,0
5a535bcea33116f026ef68ab,6,18,98,-9.14157986641,38.7485191541
5a535bcea33116f026ef669b,6,5,98,-9.14168715477,38.7487157884
5a535bcea33116f026ef694c,6,19,98,-9.14199829102,38.7496278295
5a535bcea33116f026ef693e,6,4,98,-9.14206802845,38.7497993589
5a535bcea33116f026ef66fd,6,20,155,-9.1430336237,38.7534222976
5a535bcea33116f026ef66f2,6,17,94,-9.14542078972,38.7559992414
5a535bcea33116f026ef671e,7,10,147,-9.13393557072,38.7353727172
5a535bcea33116f026ef6958,7,15,311,-9.13662314415,38.7355066206
5a535bcea33116f026ef6713,7,4,313,-9.13685917854,38.7375820903
5a535bcea33116f026ef6952,7,6,313,-9.13662314415,38.7379335752
5a535bcea33116f026ef68d1,7,11,150,-9.13347423077,38.7399671323
5a535bcea33116f026ef6954,7,9,151,-9.13356006145,38.7407286552
5a535bcea33116f026ef6719,7,7,123,-9.13437008858,38.7421721792
5a535bcea33116f026ef68c2,7,2,123,-9.1359847784,38.7424483282
