Zona,ID Espira Por zona,Id Único Global Espira,ID Cruzamento,lon,lat
3,24,5a535bcea33116f026ef6627,588,-9.16865408421,38.7227009775
21,4,5a535bcfa33116f026ef69e2,588,-9.16808009148,38.7228265342
21,21,5a535bcfa33116f026ef69fe,588,-9.16440546513,38.7235631288
3,12,5a535bcea33116f026ef683a,6,-9.14840877056,38.723567314
3,11,5a535bcea33116f026ef65fc,6,-9.1485106945,38.7236761285
21,22,5a535bcfa33116f026ef6a02,10,-9.15845632553,38.7247014874
21,10,5a535bcfa33116f026ef69ec,584,-9.15873527527,38.7247517087
3,5,5a535bcea33116f026ef65ed,8,-9.15280222893,38.7249986295
21,23,5a535bcfa33116f026ef6a06,7,-9.15148794651,38.7252078838
21,11,5a535bcfa33116f026ef69f6,8,-9.15240526199,38.7252664748
3,6,5a535bcea33116f026ef682e,8,-9.15150403976,38.7253543614
4,11,5a535bcea33116f026ef6931,323,-9.14063572884,38.7255468743
3,9,5a535bcea33116f026ef6835,80,-9.14561390877,38.7261662604
3,16,5a535bcea33116f026ef6921,80,-9.14509892464,38.7264759514
21,24,5a535bcfa33116f026ef6a0a,15,-9.14880037308,38.7272878377
3,23,5a535bcea33116f026ef6926,15,-9.1490149498,38.7273087625
21,12,5a535bcfa33116f026ef69fa,15,-9.14897739887,38.7273673518
3,3,5a535bcea33116f026ef6917,15,-9.14881110191,38.7273882766
4,12,5a535bcea33116f026ef6648,43,-9.1458016634,38.7274845304
3,22,5a535bcea33116f026ef6853,9,-9.14555490017,38.7303971931
3,1,5a535bcea33116f026ef6827,16,-9.14683699608,38.7306357249
4,2,5a535bcea33116f026ef662f,16,-9.14556026459,38.7322510244
4,1,5a535bcea33116f026ef6929,16,-9.14548516273,38.7324100415
7,10,5a535bcea33116f026ef671e,147,-9.13393557072,38.7353727172
7,15,5a535bcea33116f026ef6958,311,-9.13662314415,38.7355066206
12,20,5a535bcfa33116f026ef6974,274,-9.15702939034,38.7357451353
4,6,5a535bcea33116f026ef6861,175,-9.14779186249,38.7359752803
12,9,5a535bcfa33116f026ef696c,297,-9.15986716747,38.7362723755
12,3,5a535bcea33116f026ef6763,274,-9.15610671043,38.7372054975
4,4,5a535bcea33116f026ef692b,20,-9.14560317993,38.7373728723
4,3,5a535bcea33116f026ef6858,20,-9.14565145969,38.7375444311
7,4,5a535bcea33116f026ef6713,313,-9.13685917854,38.7375820903
7,6,5a535bcea33116f026ef6952,313,-9.13662314415,38.7379335752
12,4,5a535bcfa33116f026ef6968,131,-9.15264129639,38.7390968104
5,9,5a535bcea33116f026ef6939,131,-9.15274858475,38.7391177317
7,11,5a535bcea33116f026ef68d1,150,-9.13347423077,38.7399671323
7,9,5a535bcea33116f026ef6954,151,-9.13356006145,38.7407286552
7,7,5a535bcea33116f026ef6719,123,-9.13437008858,38.7421721792
7,2,5a535bcea33116f026ef68c2,123,-9.1359847784,38.7424483282
7,13,5a535bcea33116f026ef672d,103,-9.13865089417,38.7424650645
5,6,5a535bcea33116f026ef6936,179,-9.14936363697,38.7435654659
7,14,5a535bcea33116f026ef68d5,152,-9.13220286369,38.7437453778
7,1,5a535bcea33116f026ef670a,102,-9.13906395435,38.7438206897
7,12,5a535bcea33116f026ef6956,102,-9.13914978504,38.7442767429
7,8,5a535bcea33116f026ef68cd,263,-9.13130700588,38.7465569657
5,5,5a535bcea33116f026ef6879,322,-9.15036678314,38.7476991416
5,7,5a535bcea33116f026ef665d,322,-9.14997518063,38.7480087393
6,18,5a535bcea33116f026ef68ab,98,-9.14157986641,38.7485191541
5,8,5a535bcea33116f026ef687e,294,-9.1468423605,38.7486195632
23,2,5a535bcfa33116f026ef6a89,153,-9.12962794304,38.7486614002
6,5,5a535bcea33116f026ef669b,98,-9.14168715477,38.7487157884
23,1,5a535bcfa33116f026ef6a93,280,-9.13267493248,38.7487869113
23,7,5a56334d11ea73d83f153fac,270,-9.13702011108,38.7491048716
23,8,5a535bcfa33116f026ef6a8f,270,-9.13749754429,38.7492471165
23,3,5a535bcfa33116f026ef6a95,154,-9.13084030151,38.7492554838
5,1,5a535bcea33116f026ef6650,25,-9.14838731289,38.7492680349
5,2,5a535bcea33116f026ef6870,25,-9.14816737175,38.7492805859
6,19,5a535bcea33116f026ef694c,98,-9.14199829102,38.7496278295
6,4,5a535bcea33116f026ef693e,98,-9.14206802845,38.7497993589
23,4,5a535bcfa33116f026ef6a8b,154,-9.13088321686,38.7501717017
23,5,5a535bcfa33116f026ef6a97,154,-9.13094222546,38.7501758853
6,20,5a535bcea33116f026ef66fd,155,-9.1430336237,38.7534222976
