t-4,t-3,t-2,t-1,Y
0.0,0.0,0.0,0.0,21.0
0.0,0.0,0.0,21.0,68.0
0.0,0.0,21.0,68.0,63.0
0.0,21.0,68.0,63.0,86.0
21.0,68.0,63.0,86.0,88.0
68.0,63.0,86.0,88.0,86.0
63.0,86.0,88.0,86.0,74.0
86.0,88.0,86.0,74.0,80.0
88.0,86.0,74.0,80.0,81.0
86.0,74.0,80.0,81.0,69.0
74.0,80.0,81.0,69.0,71.0
80.0,81.0,69.0,71.0,87.0
81.0,69.0,71.0,87.0,80.0
69.0,71.0,87.0,80.0,74.0
71.0,87.0,80.0,74.0,82.0
87.0,80.0,74.0,82.0,59.0
80.0,74.0,82.0,59.0,57.0
74.0,82.0,59.0,57.0,48.0
82.0,59.0,57.0,48.0,50.0
59.0,57.0,48.0,50.0,40.0
57.0,48.0,50.0,40.0,48.0
48.0,50.0,40.0,48.0,37.0
50.0,40.0,48.0,37.0,32.0
40.0,48.0,37.0,32.0,39.0
48.0,37.0,32.0,39.0,13.0
37.0,32.0,39.0,13.0,0.0
32.0,39.0,13.0,0.0,0.0
39.0,13.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,27.0
6.0,11.0,13.0,14.0,15.0
11.0,13.0,14.0,15.0,12.0
13.0,14.0,15.0,12.0,15.0
14.0,15.0,12.0,15.0,10.0
15.0,12.0,15.0,10.0,15.0
12.0,15.0,10.0,15.0,11.0
15.0,10.0,15.0,11.0,14.0
10.0,15.0,11.0,14.0,8.0
15.0,11.0,14.0,8.0,13.0
11.0,14.0,8.0,13.0,8.0
14.0,8.0,13.0,8.0,6.0
8.0,13.0,8.0,6.0,8.0
13.0,8.0,6.0,8.0,2.0
8.0,6.0,8.0,2.0,8.0
6.0,8.0,2.0,8.0,10.0
8.0,2.0,8.0,10.0,5.0
2.0,8.0,10.0,5.0,6.0
8.0,10.0,5.0,6.0,6.0
10.0,5.0,6.0,6.0,6.0
5.0,6.0,6.0,6.0,9.0
6.0,6.0,6.0,9.0,15.0
6.0,6.0,9.0,15.0,17.0
6.0,9.0,15.0,17.0,21.0
9.0,15.0,17.0,21.0,18.0
15.0,17.0,21.0,18.0,14.0
17.0,21.0,18.0,14.0,30.0
21.0,18.0,14.0,30.0,25.0
18.0,14.0,30.0,25.0,22.0
14.0,30.0,25.0,22.0,36.0
30.0,25.0,22.0,36.0,38.0
25.0,22.0,36.0,38.0,42.0
22.0,36.0,38.0,42.0,43.0
36.0,38.0,42.0,43.0,44.0
38.0,42.0,43.0,44.0,55.0
42.0,43.0,44.0,55.0,57.0
43.0,44.0,55.0,57.0,59.0
44.0,55.0,57.0,59.0,52.0
55.0,57.0,59.0,52.0,58.0
57.0,59.0,52.0,58.0,42.0
59.0,52.0,58.0,42.0,62.0
52.0,58.0,42.0,62.0,52.0
58.0,42.0,62.0,52.0,56.0
42.0,62.0,52.0,56.0,41.0
62.0,52.0,56.0,41.0,54.0
52.0,56.0,41.0,54.0,47.0
56.0,41.0,54.0,47.0,61.0
41.0,54.0,47.0,61.0,74.33333333333333
54.0,47.0,61.0,74.33333333333333,72.77777777777777
47.0,61.0,74.33333333333333,72.77777777777777,66.0
61.0,74.33333333333333,72.77777777777777,66.0,63.0
74.33333333333333,72.77777777777777,66.0,63.0,53.0
72.77777777777777,66.0,63.0,53.0,58.0
66.0,63.0,53.0,58.0,53.0
63.0,53.0,58.0,53.0,62.0
53.0,58.0,53.0,62.0,61.0
58.0,53.0,62.0,61.0,50.0
53.0,62.0,61.0,50.0,60.0
62.0,61.0,50.0,60.0,64.33333333333333
61.0,50.0,60.0,64.33333333333333,58.0
50.0,60.0,64.33333333333333,58.0,72.0
60.0,64.33333333333333,58.0,72.0,80.33333333333333
64.33333333333333,58.0,72.0,80.33333333333333,86.1111111111111
58.0,72.0,80.33333333333333,86.1111111111111,89.7037037037037
72.0,80.33333333333333,86.1111111111111,89.7037037037037,92.0
80.33333333333333,86.1111111111111,89.7037037037037,92.0,93.66666666666667
86.1111111111111,89.7037037037037,92.0,93.66666666666667,89.0
89.7037037037037,92.0,93.66666666666667,89.0,98.0
92.0,93.66666666666667,89.0,98.0,99.0
93.66666666666667,89.0,98.0,99.0,84.0
89.0,98.0,99.0,84.0,76.0
98.0,99.0,84.0,76.0,80.0
99.0,84.0,76.0,80.0,82.0
84.0,76.0,80.0,82.0,96.0
76.0,80.0,82.0,96.0,79.0
80.0,82.0,96.0,79.0,91.0
82.0,96.0,79.0,91.0,87.0
96.0,79.0,91.0,87.0,70.0
79.0,91.0,87.0,70.0,63.0
91.0,87.0,70.0,63.0,64.0
87.0,70.0,63.0,64.0,57.0
70.0,63.0,64.0,57.0,56.0
63.0,64.0,57.0,56.0,44.0
64.0,57.0,56.0,44.0,35.0
57.0,56.0,44.0,35.0,36.666666666666664
56.0,44.0,35.0,36.666666666666664,28.0
44.0,35.0,36.666666666666664,28.0,36.0
35.0,36.666666666666664,28.0,36.0,34.333333333333336
36.666666666666664,28.0,36.0,34.333333333333336,28.0
28.0,36.0,34.333333333333336,28.0,28.0
36.0,34.333333333333336,28.0,28.0,20.0
34.333333333333336,28.0,28.0,20.0,22.0
28.0,28.0,20.0,22.0,33.0
30.0,27.0,18.0,14.0,19.0
27.0,18.0,14.0,19.0,15.0
18.0,14.0,19.0,15.0,14.0
14.0,19.0,15.0,14.0,14.0
19.0,15.0,14.0,14.0,13.0
15.0,14.0,14.0,13.0,17.0
14.0,14.0,13.0,17.0,15.0
14.0,13.0,17.0,15.0,21.0
13.0,17.0,15.0,21.0,18.0
17.0,15.0,21.0,18.0,11.0
15.0,21.0,18.0,11.0,8.0
21.0,18.0,11.0,8.0,11.0
18.0,11.0,8.0,11.0,8.0
11.0,8.0,11.0,8.0,13.0
8.0,11.0,8.0,13.0,11.0
11.0,8.0,13.0,11.0,11.0
